Rev	Rev. Start	Perigee	Perig.IJD	Exit.IJD	Entrance.IJD	Exit	Entrance
1883	2017-11-08	07:06:47	6521.2964	nan	6524.0253	nan	40917
1882	2017-11-05	19:35:04	6518.8160	6518.9739	nan	52102	nan
1881	2017-11-03	03:43:43	6516.1554	6516.3297	6518.6998	55693	42158
1880	2017-10-31	11:52:53	6513.4951	6513.6343	6516.0763	47619	32242
1879	2017-10-28	20:01:37	6510.8345	6511.0192	6513.3658	57820	45373
1878	2017-10-26	04:05:40	6508.1706	6508.3965	6510.7185	64964	41960
1877	2017-10-23	12:23:01	6505.5160	6505.6402	6508.0871	43967	35020
1876	2017-10-20	20:34:10	6502.8571	6503.0993	6505.3956	69058	43170
1875	2017-10-18	04:44:53	6500.1978	6500.4522	6502.7451	71204	40993
1874	2017-10-15	16:24:08	6497.6834	6497.7225	6500.1015	57501	36948
1873	2017-10-12	21:05:43	6494.8790	6495.1189	nan	68589	nan
1872	2017-10-10	05:16:04	6492.2195	6492.3975	6494.7766	56392	38543
1871	2017-10-07	13:25:42	6489.5595	6489.6833	6492.1251	43931	36279
1870	2017-10-04	21:35:48	6486.8999	6487.1424	6489.4409	69070	42502
1869	2017-10-02	05:46:52	6484.2409	6484.4755	6486.7862	67556	41237
1868	2017-09-29	13:57:42	6481.5817	6481.7389	6484.1514	51680	34925
1867	2017-09-26	22:07:55	6478.9222	6479.1136	6481.4608	58963	43077
1866	2017-09-24	06:19:25	6476.2635	6476.4493	6478.8083	57896	41395
1865	2017-09-21	14:29:35	6473.6039	6473.7569	6476.1765	50573	34219
1864	2017-09-18	22:41:26	6470.9455	6471.2112	6473.4826	73082	43241
1863	2017-09-16	06:52:30	6468.2865	6468.5026	6470.8158	63994	45207
1862	2017-09-13	15:02:32	6465.6268	nan	6468.2009	nan	33877
1861	2017-09-10	23:11:15	6462.9661	nan	nan	nan	nan
1860	2017-09-08	07:22:35	6460.3073	6460.4791	nan	54832	nan
1859	2017-09-05	15:33:06	6457.6480	6457.9179	6460.1443	73720	52841
1858	2017-09-02	23:44:49	6454.9895	6455.2123	6457.4871	65192	52436
1857	2017-08-31	07:56:07	6452.3306	6452.4731	6454.8861	48232	38581
1856	2017-08-28	16:06:56	6449.6715	6449.7858	6452.2471	41340	33310
1855	2017-08-26	00:18:24	6447.0128	6447.2084	6449.5598	59792	40749
1854	2017-08-23	08:29:32	6444.3538	6444.5160	6446.8816	52602	45464
1853	2017-08-20	16:41:08	6441.6952	6441.8387	6444.2769	48392	31583
1852	2017-08-18	00:51:53	6439.0360	6439.2211	6441.5757	57676	42744
1851	2017-08-15	09:01:14	6436.3759	6436.5459	6438.9319	54390	38802
1850	2017-08-12	17:11:35	6433.7164	6433.8368	6436.2782	42853	37197
1849	2017-08-10	01:23:03	6431.0577	6431.2359	6433.5922	56154	43871
1848	2017-08-07	09:34:18	6428.3988	6428.5901	6430.9364	58832	43065
1847	2017-08-04	19:21:08	6425.8064	6425.8717	6428.3063	45405	35777
1846	2017-08-02	01:57:14	6423.0814	6423.2323	nan	50152	nan
1845	2017-07-30	13:50:04	6420.5764	6420.5869	6422.9637	53112	42199
1844	2017-07-27	18:19:58	6417.7639	6417.9051	6420.2375	47835	57595
1843	2017-07-25	02:31:42	6415.1054	6415.3003	6417.6422	59599	43228
1842	2017-07-22	10:43:20	6412.4468	6412.6073	6414.9884	52396	42096
1841	2017-07-19	18:53:51	6409.7874	6409.9287	6412.3637	47947	33180
1840	2017-07-17	03:03:03	6407.1271	6407.2956	6409.6454	53987	48124
1839	2017-07-14	11:12:33	6404.4671	6404.6305	6407.0039	52866	43664
1838	2017-07-11	16:52:29	6401.7031	6402.0473	6404.3651	67852	38227
1837	2017-07-09	03:37:56	6399.1513	6399.2740	6401.6913	43400	42488
1836	2017-07-06	11:49:41	6396.4928	6396.6313	6399.0408	47261	40458
1835	2017-07-03	20:01:18	6393.8342	6393.9488	6396.3981	41455	36317
1834	2017-07-01	04:12:20	6391.1752	6391.3226	6393.7065	49206	44632
1833	2017-06-28	12:25:07	6388.5174	6388.6706	6391.0416	50675	46150
1832	2017-06-25	20:36:00	6385.8583	6385.9745	6388.4182	41889	37434
1831	2017-06-23	04:45:44	6383.1984	6383.3390	6385.7390	47699	42612
1830	2017-06-20	12:56:44	6380.5394	6380.7051	6383.0705	53467	44813
1829	2017-06-17	21:07:21	6377.8801	6377.9844	6380.4353	38756	38705
1828	2017-06-15	05:19:00	6375.2215	6375.3748	6377.7478	50610	45767
1827	2017-06-12	13:31:01	6372.5632	6372.7191	6375.0901	51201	45480
1826	2017-06-09	21:42:39	6369.9046	6370.0119	6372.4689	39579	36136
1825	2017-06-07	05:53:44	6367.2457	6367.3932	6369.7808	49275	43626
1824	2017-06-04	14:04:45	6364.5866	6364.7335	6367.1202	49028	44031
1823	2017-06-01	18:46:20	6361.7822	nan	6364.4885	nan	37220
1822	2017-05-30	06:29:09	6359.2703	6359.4041	nan	46142	nan
1821	2017-05-27	14:38:31	6356.6101	6356.7440	6359.1385	46111	45509
1820	2017-05-24	22:48:01	6353.9500	6354.0757	6356.5011	43993	39929
1819	2017-05-22	06:58:59	6351.2910	6351.4597	6353.8066	53867	48348
1818	2017-05-19	15:11:11	6348.6328	6348.7553	6351.1379	43282	50471
1817	2017-05-16	23:22:41	6345.9741	6346.0809	6348.5335	39360	37345
1816	2017-05-14	07:34:26	6343.3156	6343.4453	6345.8266	45060	49105
1815	2017-05-11	15:45:14	6340.6564	6340.7908	6343.1861	46073	44834
1814	2017-05-08	23:56:21	6337.9975	6338.1095	6340.5543	40575	38070
1813	2017-05-06	08:08:34	6335.3393	6335.4776	6337.8538	47032	48248
1812	2017-05-03	16:18:58	6332.6798	6332.8210	6335.2100	47648	44726
1811	2017-05-01	00:29:33	6330.0205	6330.1343	6332.5702	40980	39969
1810	2017-04-28	08:39:43	6327.3609	6327.5123	6329.8880	49922	45669
1809	2017-04-25	16:51:06	6324.7022	6324.8441	6327.1988	47828	52401
1808	2017-04-23	01:02:44	6322.0436	6322.1964	6324.5842	50267	41942
1807	2017-04-20	09:13:32	6319.3844	6319.5606	6321.8659	55225	55553
1806	2017-04-17	17:25:47	6316.7262	6316.8655	6319.2046	47082	56142
1805	2017-04-15	01:36:49	6314.0672	6314.1714	6316.6179	38470	39596
1804	2017-04-12	09:48:31	6311.4087	6311.5585	6313.9087	49490	51480
1803	2017-04-09	18:00:23	6308.7503	6308.9122	6311.1471	52165	71719
1802	2017-04-07	02:11:44	6306.0915	6306.2076	6308.6300	41553	42491
1801	2017-04-04	10:22:03	6303.4320	6303.5400	6305.9541	39431	46564
1800	2017-04-01	18:32:18	6300.7724	6300.9265	6303.2903	50388	47685
1799	2017-03-30	02:43:15	6298.1134	6298.2373	6300.6430	43433	44802
1798	2017-03-27	10:54:25	6295.4545	6295.5700	6297.8879	41306	65068
1797	2017-03-24	19:05:50	6292.7957	6292.9541	6295.2891	51244	52851
1796	2017-03-22	03:18:31	6290.1379	6290.2427	6292.6569	38690	46945
1795	2017-03-19	11:29:38	6287.4789	6287.6223	6289.9757	47895	52107
1794	2017-03-16	19:41:22	6284.8204	6284.9737	6287.2799	50192	59911
1793	2017-03-14	03:52:56	6282.1618	6282.2879	6284.7141	43784	38970
1792	2017-03-11	12:04:48	6279.5033	6279.6779	6282.0034	54814	51353
1791	2017-03-08	20:15:57	6276.8444	6277.0269	6279.2996	56551	60834
1790	2017-03-06	04:26:17	6274.1849	6274.3139	6276.6593	44591	57043
1789	2017-03-03	12:37:05	6271.5258	6271.6728	6273.9455	48859	67689
1788	2017-02-28	20:48:14	6268.8668	6268.9960	6271.2919	44642	66562
1787	2017-02-26	04:59:36	6266.2081	6266.3401	6268.7624	45234	38435
1786	2017-02-23	13:11:05	6263.5494	6263.6936	6266.0296	48017	55615
1785	2017-02-20	21:23:18	6260.8912	6261.0610	6263.3602	53817	57925
